translationId,productId,locale,title,descriptionHtml,currentIngredients,proposedIngredients,subtitle,subtitleStatus,action,reason
cmr0q35a60028aixkzy0f8w92,cmr0q35a60027aixk3x3s8xok,ru,Наггетсы хрустящие,<p>Куриные наггетсы в панировке собственного производства<br/>160 г</p>,,Куриные наггетсы в панировке собственного производства,160 г,exists,MIGRATE,first line from descriptionHtml
cmr0q3wly004eaixksxx0apei,cmr0q3wly004daixk700h8o6k,ru,Овощи на мангале,"<p>Кабачок, баклажан, болгарский перец<br/>200 г</p>",,"Кабачок, баклажан, болгарский перец",200 г,exists,MIGRATE,first line from descriptionHtml
cmr0q2py30012aixk7gtmc12d,cmr0q2py30011aixkkxfc7x70,ru,Овощная нарезка,"<p>Ассорти из свежих овощей: огурцы, помидоры, болгарский перец, редис.<br/>220г</p>",,"Ассорти из свежих овощей: огурцы, помидоры, болгарский перец, редис.",220г,exists,MIGRATE,first line from descriptionHtml
cmr0q3297001zaixkiki9c1wy,cmr0q3297001yaixktxsz5ko0,ru,Овощной салат,"<p>Помидоры, огурцы, болгарский перец, зелень, базилик, красный лук, оливковое масло.<br/>180г</p>",,"Помидоры, огурцы, болгарский перец, зелень, базилик, красный лук, оливковое масло.",180г,exists,MIGRATE,first line from descriptionHtml
cmr0q3slw0042aixk0rowribq,cmr0q3slv0041aixk89vy7v50,ru,Оссобуко,<p>Телячья голяшка в сочетании с итальянским рисом ризотто или пастой ариштой в нежном сливочном соусе. Подаётся с фирменным винным соусом.</p>,,Телячья голяшка в сочетании с итальянским рисом ризотто или пастой ариштой в нежном сливочном соусе. Подаётся с фирменным винным соусом.,,missing,MIGRATE,first line from descriptionHtml
cmr0q3xkx004haixkyd2m8na7,cmr0q3xkx004gaixk6c8ruqu6,ru,Печень говяжья,"<p>Говяжья печень, фирменный соус, лук, зелень<br/>200/40/20 г</p>",,"Говяжья печень, фирменный соус, лук, зелень",200/40/20 г,exists,MIGRATE,first line from descriptionHtml
cmr0q4lzu006eaixk03s929kx,cmr0q4lzu006daixk1doxwjqs,ru,Пицца с бастурмой,"<p>Авторское тесто, бастурма, сыр моцарелла, сулугуни, томаты, базилик, фирменный соус &quot;Маргарита&quot;.<br/>28см</p>",,"Авторское тесто, бастурма, сыр моцарелла, сулугуни, томаты, базилик, фирменный соус ""Маргарита"".",28см,exists,MIGRATE,first line from descriptionHtml
cmr0q4n1v006haixkvchouan2,cmr0q4n1v006gaixk6tzthej5,ru,Пицца с охотничьими колбасками,"<p>Авторское тесто, моцарелла, сулугуни, охотничьи колбаски, томаты, базилик, фирменный соус &quot;Маргарита&quot;.<br/>28см</p>",,"Авторское тесто, моцарелла, сулугуни, охотничьи колбаски, томаты, базилик, фирменный соус ""Маргарита"".",28см,exists,MIGRATE,first line from descriptionHtml
cmr0q3pdo003taixk4n5zcus2,cmr0q3pdn003saixkx37d68cr,ru,Ризотто,"<p>Рис ризотто, сливочный соус, куркума, пармезан, черри, мидии, креветки, кальмары<br/>220 г</p>",,"Рис ризотто, сливочный соус, куркума, пармезан, черри, мидии, креветки, кальмары",220 г,exists,MIGRATE,first line from descriptionHtml
cmr0q2ytj001qaixk5zeem319,cmr0q2ytj001paixk1x3fnjmk,ru,Салат Цезарь с креветками,"<p>Тигровые креветки, черри, фирменный соус «Цезарь», микс зелени, пармезан, хрустящий армянский лаваш<br/>220 г</p>",,"Тигровые креветки, черри, фирменный соус «Цезарь», микс зелени, пармезан, хрустящий армянский лаваш",220 г,exists,MIGRATE,first line from descriptionHtml
cmr0q2xjs001naixkjmr9cf0m,cmr0q2xjr001maixkpx495psj,ru,Салат Шурик,"<p>Вырезка из телятины, микс зелени, морковь по-корейски, бальзамический уксус, грецкий орех, оливковое масло, сухарики собственного производства, дор-блю<br/>180 г</p>",,"Вырезка из телятины, микс зелени, морковь по-корейски, бальзамический уксус, грецкий орех, оливковое масло, сухарики собственного производства, дор-блю",180 г,exists,MIGRATE,first line from descriptionHtml
cmr0q2r600015aixk6l8ud102,cmr0q2r600014aixk45edok6o,ru,Сало домашнее,"<p>Сало свиное подаётся с фирменным соусом на основе горчицы и чесночного соуса, с зелёным луком.<br/>150г</p>",,"Сало свиное подаётся с фирменным соусом на основе горчицы и чесночного соуса, с зелёным луком.",150г,exists,MIGRATE,first line from descriptionHtml
cmr0q3ym6004kaixk6ivi7334,cmr0q3ym5004jaixkp0388amx,ru,Свиная шея,"<p>Свинина, фирменный соус, лук, зелень<br/>200/40/20 г</p>",,"Свинина, фирменный соус, лук, зелень",200/40/20 г,exists,MIGRATE,first line from descriptionHtml
cmr0q447f004zaixkrtzkwu89,cmr0q447f004yaixk8ucry2pa,ru,Свиные рёбра,"<p>Свиные рёбра, фирменный соус, лук, зелень<br/>200/40/20 г</p>",,"Свиные рёбра, фирменный соус, лук, зелень",200/40/20 г,exists,MIGRATE,first line from descriptionHtml
cmr0q5c8u008eaixk8wil8m3j,cmr0q5c8u008daixkki4t629o,ru,Сметана,<p>Сметана<br/>50 г</p>,,Сметана,50 г,exists,MIGRATE,first line from descriptionHtml
cmr0q3esq002zaixk7681tuko,cmr0q3esq002yaixkji6zo8vv,ru,Солянка,"<p>Подаётся с лимоном, чёрным хлебом и со сметаной.<br/>350г</p>",,"Подаётся с лимоном, чёрным хлебом и со сметаной.",350г,exists,MIGRATE,first line from descriptionHtml
cmr0q4ult0072aixkc0t6d361,cmr0q4uls0071aixky5vnm8rc,ru,Спагетти с куриной сосиской,"<p>Спагетти, куриная сосиска.<br/>160г</p>",,"Спагетти, куриная сосиска.",160г,exists,MIGRATE,first line from descriptionHtml
